questions,option1,option2,option3,option4,option5,answer,explanation,type,section
"<b>পরস্পরকে স্পর্শ করা দুটি অভিন্ন গোলকের (যাদের ভর 100 kg ও ব্যাসার্ধ 5m) মধ্যে মহাকর্ষ বল প্রায় -</b>","6.67×10⁻¹¹ N","6.67×10⁻⁹ N","6.7×10⁹ N","6.67×10¹¹ N",,2,"সঠিক উত্তর হলো B<br />
<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2024-09-13/012d81b2-a90d-4c55-a322-5e028f216b5d-image.png"">",1,1
"<b>চট্টগ্রাম বিশ্ববিদ্যালয়ে (চবি) একটি বস্তুর ওজন 9.81 N এবং চবি-এ অভিকর্ষজ ত্বরণ 981 cms-2 হলে, পৃথিবীর কেন্দ্রে বস্তুটির ভর কত?</b>","0 kg","1 kg","1 g",অসীম,,2,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2024-09-13/e0eb60ca-f9a0-4a78-b1fb-57a211c9d89d-image.png"">",1,1
"<b>  ²³⁴₉₀<i>Th</i>  নিউক্লিয়াসে ইলেক্ট্রনের সংখ্যা-</b>",234,144,90,0,,4,"<b> ²³⁴₉₀<i>Th</i> পরমাণুর কক্ষপথে ইলেক্ট্রন সংখ্যা 90টি। কিন্তু  নিউক্লিয়াসে কোনো ইলেক্ট্রন থাকে না।</b>",1,1
"<b>ফারেনহাইট স্কেলে পরম শূণ্য তাপমাত্রার অনুরূপ তাপমাত্রা-</b>",-455°F,-460°F,-465°C,-470°C,,2,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2023-09-18/2bc1090d-6706-485c-9e9e-18e87194dd77-image.png"">",1,1
"<b>একটি তারের ব্যাসার্ধ বৃদ্ধি করা হলে তারটির উপাদানের ইয়ং এর গুণাংক ____</b>","বৃদ্ধি পাবে","হ্রাস পাবে","অপরিবর্তিত থাকবে","কোনোটিই নয়",,3,"<b>তারের ইয়ং গুণাংকের মান তার উপাদানের উপর নির্ভর করে। সুতরাং তারের ব্যাসার্ধ বৃদ্ধি বা কমানো যাই করা হোক না কেনো তারের ইয়ং গুণাংকের মানের কোনো পরিবর্তন হবে না।</b>",1,1
"<b>সরল দোলন গতি সম্পন্ন কোন বস্তুকণার গতির সমীকরণ x=20 sin(31t-π/6) হলে, সর্বাধিক বেগ কত ms⁻¹ হবে ?</b>",520,640,580,620,,4,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2023-09-17/fc2b7093-e2d0-49ba-8737-ff0f3b53c00b-image.png"">",1,1
"<b>টর্কের মাত্রা সূত্র (Dimensional Formula) কোনটি?</b>",[ML²T⁻²],[ML⁻²T⁻²],[ML²T⁻¹],[ML⁻¹T²],,1,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2023-09-18/3c53c14f-a989-443f-b1e1-d1f0872a7790-image.png"">",1,1
"<b>তেলের আয়তন গুণাঙ্ক 1.3 × 10⁹ Pa হলে তেলের অসংমন্যতা কত?</b>","1.3 × 10⁹ N/m2","1/1.5 x 10⁻⁹ N/m2","1.5 × 10⁹ m2/N","1/1.3 x 10⁻⁹ N/m2",,1,"<b>অসং নম্যতা ও আয়তন গুণাঙ্ক একই রাশি নির্দেশ করে।</b>",1,1
"<b>কোন তরঙ্গের সমবর্তন হয় না?</b>",এক্স-রশ্মি,"শব্দ তরঙ্গ","রেডিও তরঙ্গ","সাধারণ আলো",,2,"<b>সমবর্তন ধর্ম শুধুমাত্র আড় তরঙ্গে দেখা যায়। শব্দ তরঙ্গ এক  ধরনের লম্বিক বা অনুদৈর্ঘ্য তরঙ্গ, তাই শব্দ তরঙ্গের সমবর্তন ধর্ম নেই।</b>",1,1
"<b>ঠান্ডা শীতের দিনে কেউ দরজা খুললে ঘর ঠান্ডা হয়ে যায়।কিভাবে এই তাপের স্থানান্তর ঘটে?</b>","ভেতর থেকে উষ্ণ বাতাস বাইরে স্থানান্তরিত হয়","বাইরে থেকে উষ্ণতা বাতাস ভেতরে স্থানান্তরিত হয়","ভেতর থেকে ঠান্ডা বাতাস বাইরে স্থানান্তরিত হয়","কোনটি নয়",,1,"<b>তাপ সর্বদা উচ্চ তাপমাত্রার অঞ্চল হতে নিম্ন তাপমাত্রার অঞ্চলে স্থানান্তরিত হয়।  </b>",1,1
"<b>যদি একটি রোধক সম্বলিত একটি সার্কিটের জন্য 9V ব্যাটারি রয়েছে।1.5V ব্যাটারি দিয়ে ঐ 9V ব্যাটারি প্রতিস্থাপন করা হলে বর্তমান প্রবাহ কি হবে?</b>","প্রবাহ বাড়বে","প্রবাহ কমে যাবে","প্রবাহ একই থাকবে","কোনটি নয়",,2,"<b>V = IR ⇒ V ∝ I  বিভব বাড়লে প্রবাহ বাড়বে। বিভব কমলে একই রোধের ক্ষেত্রে প্রবাহ কমবে।  তাই 1.5V ব্যাটারির ক্ষেত্রে প্রবাহ কমে যাবে।</b>",1,1
"<b>কোনটি ভেক্টর রাশি?</b>",আয়তন,"বৈদ্যুতিক বিভব","স্বর্ণপাত ধারকযন্ত্র","বৈদ্যুতিক প্রাবল্য",,4,"<b>ভেক্টর রাশিসমূহ: বৈদ্যুতিক প্রাবল্য, কুলম্ব/তড়িৎ বল, ক্ষেত্রফল।  স্কেলার রাশিসমূহ: বৈদ্যুতিক বিভব, চার্জ, কৃতকাজ, ধারকত্ব, আয়তন ইত্যাদি।</b>",1,1
